Archetype_ID,Knowledge,Capability,Intent,Access,Stealth,Adaptability
0,2.0,2.75,1.25,1.0,2.25,2.5
1,2.5,3.5,4.0,4.5,2.0,1.5
2,3.333333333333333,3.3333333333333335,2.6666666666666665,4.166666666666666,3.1666666666666665,3.6666666666666665
3,2.0,3.0,1.0,4.0,1.0,3.0
4,3.0,3.3333333333333335,3.0,1.0000000000000002,1.6666666666666667,3.0
